содержаться	0
полагать	0
замечать	0
стоить	0
вспоминать	2
обмениваться	0
наваливаться	0
формировать	0
придавать	0
компенсировать	0
заступаться	0
распространять	0
продлиться	0
прописывать	0
опускаться	0
шокировать	0
двигаться	0
обслуживать	0
связывать	2
упрощать	0
выполнять	0
презентовать	0
сетовать	0
определять	0
поприветствовать	0
смочь	0
формироваться	0
съедать	0
прибывать	0
исчезать	0
лишать	0
включать	0
одерживать	0
отвлекать	0
восприниматься	0
возглавлять	0
бить	0
выявлять	0
пообщаться	0
подтверждаться	0
ездить	0
колебаться	0
знать	0
складываться	0
заслуживать	2
пожить	0
проходить	0
потребоваться	0
осуществлять	0
пообещать	0
объединять	0
пояснять	0
скончаться	0
разрабатывать	0
проанализировать	0
проводить	0
выбрасывать	0
вешать	0
облачаться	0
побеседовать	0
готовить	0
располагаться	0
признаваться	0
подразумевать	0
выяснивать	0
изменяться	0
волновать	0
пойти	-2
нуждаться	0
мешать	0
схватывать	0
возлагать	0
сохранять	0
заставлять	0
ощущать	0
продолжать	0
выдерживать	0
разнимать	0
занимать	2
отходить	0
причинять	0
обеспечивать	2
доставляться	0
добавлять	-2
наброситься	-2
упразднять	0
носить	0
утаивать	0
добираться	0
зарабатывать	0
хватать	0
наблюдаться	0
нести	2
размахивать	0
сказать	0
звучать	0
шагнуть	0
быть	2
расти	0
планироваться	0
уменьшаться	0
сближать	0
обитать	0
взыскивать	0
дожидаться	0
заменяться	0
жить	0
знакомиться	0
сохраняться	0
преодолеть	0
посылать	0
гулять	0
высказываться	0
желать	0
выпадать	0
прозвучать	0
снижаться	0
взрываться	0
приобретать	0
поясняться	0
рождаться	0
приносить	0
вращаться	0
проводиться	0
входить	0
казаться	0
разрешать	0
согласовывать	0
создаваться	0
присутствовать	0
стоять	2
ускорять	0
дарить	0
отражаться	0
зайти	0
выполняться	0
возникать	0
закреплять	0
нажимать	0
урегулировать	0
поздравлять	0
называть	2
запускать	0
блокировать	0
оценивать	0
пробивать	0
признавать	0
пройти	0
зарегистрироваться	0
объявлять	0
сдавать	0
утвердить	0
одобрять	2
пытаться	0
привлекать	0
переносить	0
присуждать	0
изъясняться	0
передавать	0
общаться	0
превышать	0
показываться	0
водить	0
взвиваться	0
узнавать	0
назначать	0
продаваться	0
умещаться	0
обнаруживать	0
сомневаться	0
окружать	0
случаться	0
допускаться	0
изменять	0
доказывать	0
подкидывать	0
подорвать	-2
окрепнуть	2
служить	2
садиться	0
болеть	0
усиливаться	0
интересоваться	0
звать	0
нарушать	-2
выживать	0
поступать	0
страдать	-2
рассматриваться	0
первенствовать	0
отапливаться	0
окрашивать	0
предполагаться	0
отдавать	2
дополняться	0
помогать	2
состояться	0
выступать	0
инвестировать	0
попытаться	0
вестись	0
украшать	2
подавать	0
употребляться	0
поделиться	0
догнать	0
работать	2
устраивать	0
думать	0
отслеживать	0
воспитывать	0
оцениваться	0
приводиться	0
приставать	0
склоняться	0
воспитываться	0
чествовать	0
предполагать	0
прогнозировать	0
посчитать	0
адаптироваться	0
попрощаться	0
сдвигать	0
прибегать	0
врать	-2
ощущаться	0
зависеть	0
действовать	0
образовываться	0
оттачивать	0
набирать	0
радовать	2
отбивать	0
выезжать	0
приходиться	0
заключать	0
прижимать	0
транслироваться	0
скрывать	0
соответствовать	0
считать	0
собираться	0
извиняться	0
оперировать	0
обладать	0
лишаться	0
строиться	0
выражать	2
стартовать	0
получаться	0
развиваться	0
следовать	2
повлиять	0
курсировать	0
вмешиваться	0
организоваться	0
проникать	0
сравнивать	0
указываться	0
учиться	0
защищать	0
являться	0
реализоваться	0
обследоваться	0
создавать	0
выяснять	0
видеть	0
составлять	2
потолкаться	0
окрашиваться	0
купить	0
появляться	0
русифицироваться	0
развивать	0
умирать	0
завершаться	0
разделять	0
